Label,Tunnel_Location_tm,category,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4
DELOS Gneiss Fracture,440,subsurface,28.06,1.37,2.75,5.64,30,0,0.23,30.86
DELOS Gneiss Fracture,440,subsurface,21.63,1.51,1.7,5.59,27.5,0,0.31,28.57
DELOS Gneiss Fracture,444,subsurface,24.53,1.51,1.54,5.75,,0,0.23,22.36
DELOS Gneiss Fracture,444,subsurface,25.72,1.56,1.51,5.53,27.5,0,0.13,23.85
DELOS Gneiss Fracture,444,subsurface,24.73,1.46,1.48,6.33,25,0,0.87,21.48
DELOS Gneiss Fracture,444,subsurface,22.6,1.59,1.63,5.53,25,0,0.24,20.34
DELOS Gneiss Fracture,699.2,subsurface,130.46,0.56,43.05,1.37,12.5,0,3.72,344.18
DELOS Gneiss Fracture,699.2,subsurface,103.63,0.57,42.28,1.16,12.5,0,3.71,326.61
DELOS Gneiss Fracture,901,subsurface,154.47,0.27,93.67,1.65,10,0,13.98,529.15
DELOS Gneiss Fracture,901,subsurface,155.14,0.27,99.09,1.78,10,0,13.6,514.61
DELOS Gneiss Fracture,901,subsurface,,,,,5,0,,
DELOS Granite Fracture,1203.1,subsurface,54.48,0.25,8.43,0.14,10,0,2.01,109.4
DELOS Granite Fracture,1203.1,subsurface,,,,,12.5,0,,
DELOS Granite Fracture,1303,subsurface,13.97,1.09,2.17,0.15,,0,2.98,11.69
DELOS Granite Fracture,1303,subsurface,13.4,0.2,1.59,0.21,,0,0.43,11.34
DELOS Granite Fracture,1303,subsurface,12.91,0.26,1.67,0.1,,0,0.24,10.9
DELOS Granite Fracture,1303,subsurface,14.04,0.23,1.68,0.09,15,0,0.29,13
DELOS Granite Fracture,1303,subsurface,13.85,0.23,1.67,0.08,10,0,0.32,12.08
DELOS Granite Fracture,1303,subsurface,13.75,,2.05,0,18,0,0.56,12.09
DELOS Granite Fracture,1306.1,subsurface,34.95,1.16,3.19,0.04,,0,3.28,25.46
DELOS Granite Fracture,1306.1,subsurface,19.79,0.21,3.02,0.35,,0,0.78,27.64
DELOS Granite Fracture,1306.1,subsurface,20.18,0.2,2.92,0.29,,0,0.71,26
DELOS Granite Fracture,1306.1,subsurface,19.59,0.25,3.02,0.13,,0,0.61,26.04
DELOS Granite Fracture,1306.1,subsurface,21.1,0.24,3.07,0.1,15,0,0.61,29.62
DELOS Granite Fracture,1306.1,subsurface,20.61,0.23,3.05,0.09,15,0,0.64,27.4
DELOS Granite Fracture,1306.1,subsurface,19.25,0.25,3.36,0,18,0,0.65,27.09
DELOS Granite Fracture,1306.2,subsurface,41.8,1.46,7.13,0.04,,0,3.92,49.95
DELOS Granite Fracture,1306.2,subsurface,28.22,0.25,7.31,0.67,,0,1.6,53.33
DELOS Granite Fracture,1306.2,subsurface,28.82,0.21,7.81,0.13,,0,2.19,58.01
