Label,Tunnel_Location_tm,category,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4
DELOS Granite Fracture,2848.1,subsurface,10.16,0.27,6.55,0.36,20.52,0,0.53,11.67
DELOS Granite Fracture,2848.1,subsurface,9.9,0.26,6.52,0.35,20,0,0.64,11.07
DELOS Granite Fracture,2848.1,subsurface,11.06,0.24,6.63,0.35,15,0,0.22,12.61
DELOS Granite Fracture,2848.1,subsurface,10.77,0.24,6.66,0.33,15,0,0.22,11.66
DELOS Granite Fracture,2848.1,subsurface,10.32,0.27,6.71,0.36,14,0,0.17,11.36
DELOS Granite Fracture,2848.2,subsurface,23.93,1.09,15.4,0.39,,0,3.49,56.75
DELOS Granite Fracture,2848.2,subsurface,22.05,0.32,15.52,,13.86,0,1.3,58.93
DELOS Granite Fracture,2848.2,subsurface,23.8,0.25,16.16,0.48,15,0,0.73,62.91
DELOS Granite Fracture,2848.2,subsurface,24.38,0.23,15.87,0.48,10,0,0.83,62.54
DELOS Granite Fracture,2848.2,subsurface,25.67,0.23,16.92,0.49,10,0,0.73,65.07
DELOS Granite Fracture,2848.2,subsurface,21.17,0.26,15.85,0.48,10,0,0.71,61.51
DELOS Granite Fracture,3191,subsurface,27.2,1.18,15.5,0.21,,0,3.11,25.43
DELOS Granite Fracture,3191,subsurface,11.19,0,15.76,0.23,15,0,0.44,26.81
DELOS Granite Fracture,3191,subsurface,12.35,0,15.79,0.18,12.5,0,0.45,29.5
DELOS Granite Fracture,3191,subsurface,11.93,0,15.8,0.2,10,0,0.51,27.36
DELOS Granite Fracture,3191,subsurface,11.06,0,15.6,0.21,19,0,0.47,26.9
DELOS Granite Fracture,3192,subsurface,33.06,1.3,17.97,0.27,,0,3.43,49.85
DELOS Granite Fracture,3192,subsurface,19.29,0,18.12,0.21,15,0,0.78,52.95
DELOS Granite Fracture,3192,subsurface,20.28,0,18.15,0.23,10,0,0.86,56.24
DELOS Granite Fracture,3192,subsurface,19.96,0,18.2,0.23,10,0,0.73,54.08
DELOS Granite Fracture,3192,subsurface,17.57,0,18.04,0.25,18,0,0.84,53.65
DELOS Granite Fracture,3750,subsurface,6.59,0.26,3.06,0.42,10,0,0.21,6.05
DELOS Granite Fracture,3750,subsurface,7.54,0,3.09,0.45,15,0,0.13,7.63
DELOS Granite Fracture,3750,subsurface,7.53,0,2.88,0.42,10,0,0.15,6.95
DELOS Granite Fracture,3750,subsurface,7.5,0,3.05,0.4,10,0,0.18,6.64
DELOS Granite Fracture,3750,subsurface,7.39,0,3.13,0.42,12.5,0,0.22,6.65
DELOS Granite Fracture,3884,subsurface,9.9,0,8.6,0.61,15,0,1.51,13.2
DELOS Granite Fracture,3884,subsurface,,0,,,,0,0.88,
DELOS Granite Fracture,3884,subsurface,10.45,0,8.53,0.61,15,0,0.27,14.12
DELOS Granite Fracture,3884,subsurface,10.71,0,8.6,0.58,10,0,0.28,13.72
DELOS Granite Fracture,3884,subsurface,9.95,0,8.55,0.61,20,0,1.48,14.41
DELOS Granite Fracture,4166,subsurface,6.42,0,7.91,0.27,20,0,0.21,3.54
DELOS Granite Fracture,4166,subsurface,,,,,,0,,
DELOS Granite Fracture,4166,subsurface,7.51,0,7.99,0.28,15,0,0.14,4.65
DELOS Granite Fracture,4166,subsurface,11.85,0.24,7.98,0.24,15,0,0.16,4.17
DELOS Granite Fracture,4166,subsurface,7.11,0,8.09,0.26,23.5,0,0.14,3.73
DELOS Granite Fracture,4348,subsurface,7.5,0,21.08,0.28,15,0,0.86,18.09
DELOS Granite Fracture,4348,subsurface,8.65,0,21.27,0.3,15,0,0.79,21.24
DELOS Granite Fracture,4348,subsurface,8.12,0,21.35,0.43,15,0,0.72,19.01
DELOS Granite Fracture,4348,subsurface,8.5,0,21.26,0.33,15,0,0.68,18.74
DELOS Granite Fracture,4447,subsurface,8.64,0,17.48,0.3,,0,0.8,15.74
DELOS Granite Fracture,4447,subsurface,9.29,0,17.52,0.27,17.5,0,0.83,16.75
DELOS Granite Fracture,4447,subsurface,10.89,0,17.63,0.32,15,0,0.72,15.5
DELOS Granite Fracture,4447,subsurface,8.67,0,17.4,0.36,15,0,0.78,15.7
DELOS Granite Fracture,4506,subsurface,9.96,0.19,14.75,0.24,,0,0.55,16.45
DELOS Granite Fracture,4506,subsurface,10.75,0.3,14.61,0.22,20,0,0.5,16.14
DELOS Granite Fracture,4506,subsurface,9.94,0,14.71,0.21,15,0,0.52,17.61
DELOS Granite Fracture,4506,subsurface,10.5,0,15.07,0.25,15,0,0.6,16.18
DELOS Granite Fracture,4506,subsurface,9.44,0,14.81,0.27,22,0,0.51,16.28
DELOS Granite Fracture,4599,subsurface,9.29,0,11.89,0.26,,0,0.23,13.88
DELOS Granite Fracture,4599,subsurface,9.69,0,11.98,0.31,15,0,0.14,15
DELOS Granite Fracture,4599,subsurface,9.38,0,12.28,0.31,15,0,0.2,13.37
DELOS Granite Fracture,4599,subsurface,9.23,0,11.75,0.31,15,0,0.35,13.73
DELOS Granite Fracture,4652,subsurface,9.81,0,11.49,0.17,,0,0.28,12.01
DELOS Granite Fracture,4652,subsurface,9.28,0.25,11.32,0.2,20,0,0.23,11.14
DELOS Granite Fracture,4652,subsurface,10.33,0,11.4,0.2,15,0,0.14,12.45
DELOS Granite Fracture,4652,subsurface,9.61,0,11.33,0.18,15,0,0.19,12.52
DELOS Granite Fracture,4652,subsurface,9.58,0,11.1,0.18,15,0,0.1,12.04
DELOS Granite Fracture,4752,subsurface,11.22,0,8.82,0.31,,0,0.23,13.2
DELOS Granite Fracture,4752,subsurface,10.71,0.31,8.71,0.36,20,0,0.17,12.88
DELOS Granite Fracture,4752,subsurface,11.66,0,8.91,0.35,15,0,0,13.99
DELOS Granite Fracture,4752,subsurface,11.35,0,9.28,0.39,15,0,0.17,13.13
DELOS Granite Fracture,4752,subsurface,10.86,0,8.62,0.38,22.5,0,0.15,12.84
DELOS Granite Fracture,4846,subsurface,12.3,0.2,9.47,0.28,,0,0.13,14.7
